ii,dv,comp1,comp2,comp3,comp4,fracao_fiscal
3417370,8,BOX,A,PAV,42,",0026370"
3417371,6,BOX,B,PAV,42,",0080710"
3417372,4,BOX,1,PAV,43,",0232110"
3417373,2,BOX,"2,4",PAV,43,",0696340"
3417374,0,BOX,3,PAV,43,",0148860"
3417375,7,BOX,5,PAV,43,",0182490"
3417376,5,BOX,6,PAV,43,",0199710"
3417377,3,BOX,"7,9",PAV,43,",0464220"
3417378,1,BOX,"8,10",PAV,43,",0486500"
3417379,9,BOX,11,PAV,43,",0216530"
3417380,7,BOX,"12,14",PAV,43,",0301740"
3417381,5,BOX,"13,15",PAV,43,",0455930"
3417382,3,BOX,"16,17,18",PAV,43,",0645370"
3417383,1,BOX,"19,21",PAV,43,",0464220"
3417384,9,BOX,"20,22,24",PAV,43,",0626420"
3417385,6,BOX,23,PAV,43,",0150910"
3417386,4,BOX,"25,26",PAV,43,",0501130"
3417387,2,BOX,"27,28,30",PAV,43,",0758700"
3417388,0,BOX,29,PAV,43,",0114820"
3417389,8,BOX,"31,32,34",E,"36,38,40",",1382760"
3417390,6,BOX,"37,39,41",PAV,43,",0385710"
3417391,4,BOX,42,PAV,43,",0172240"
3417392,2,BOX,43,PAV,43,",0172240"
3417393,0,BOX,44,PAV,43,",0116050"
3417394,8,BOX,45,PAV,43,",0344480"
3417395,5,BOX,46,PAV,43,",0232110"
3417396,3,BOX,48,PAV,43,",0196840"
3417397,1,BOX,A,PAV,43,",0194300"
3417398,9,BOX,B,PAV,43,",0123020"
3417399,7,BOX,C,PAV,43,",0034120"
3417400,3,BOX,"1,3",PAV,44,",0567260"
3417401,1,BOX,"2,4,6",PAV,44,",0370020"
3417402,9,BOX,5,PAV,44,",0173480"
3417403,7,BOX,8,PAV,44,",0152900"
3417404,5,BOX,"7,9",PAV,44,",0307010"
3417405,2,BOX,10 A 14,PAV,44,",1140580"
3417406,0,BOX,"15,16",PAV,44,",0234850"
3417407,8,BOX,17,PAV,44,",0140310"
3417408,6,BOX,18,PAV,44,",0187080"
3417409,4,BOX,"19,21",PAV,44,",0233850"
3417410,2,BOX,20,PAV,44,",0186900"
3417411,0,BOX,23,PAV,44,",0113580"
3417412,8,BOX,"22,24 A 29",PAV,44,",1713860"
3417413,6,BOX,30 A 34,PAV,44,",1236130"
3417414,4,BOX,"35,36,37",PAV,44,",0660800"
3417415,1,BOX,"38,39,40",E,42,",0829540"
3417416,9,BOX,41,PAV,44,",0280620"
3417417,7,BOX,"43,44",PAV,44,",0469710"
3417418,5,BOX,"45,46",PAV,44,",0469710"
3417419,3,BOX,47,PAV,44,",0147900"
3417420,1,BOX,48,PAV,44,",0137920"
3417421,9,BOX,49,PAV,44,",0066810"
3417422,7,BOX,A,PAV,44,",0045430"
3417423,5,BOX,B,PAV,44,",0089530"
3417424,3,BOX,C,PAV,44,",0044090"
3417425,0,PAV,53,,,"1,0000000"
3417428,4,PAV,57 A,,,"1,0000000"
3417429,2,PAV,57 B,,,"1,0000000"
3417430,0,PAV,60,,,"1,0000000"
3417431,8,PAV,61,,,"1,0000000"
3417432,6,PAV,62,,,"1,0000000"
3417434,2,BOX,"1,2",PAV,64,",0378310"
3417435,9,BOX,"3,4",PAV,64,",0404760"
3417436,7,BOX,"5,6",PAV,64,",0664090"
3417437,5,BOX,"7,8",PAV,64,",0686980"
3417438,3,BOX,9 A 12,PAV,64,",1373240"
3417439,1,BOX,13,PAV,64,",0202010"
3417440,9,BOX,14 A 16,PAV,64,",0584710"
3417441,7,BOX,17,PAV,64,",0338060"
3417442,5,BOX,18 A 20,PAV,64,",1014220"
3417443,3,BOX,21,PAV,64,",0337220"
3417444,1,BOX,22 A 24,PAV,64,",0584710"
3417445,8,BOX,25 A27,PAV,64,",1014220"
3417446,6,BOX,28,PAV,64,",0337220"
3417447,4,BOX,29,PAV,64,",0337220"
3417448,2,BOX,31 A 32,PAV,64,",1105130"
3417449,0,BOX,33,PAV,64,",0258420"
3417450,8,BOX,34,PAV,64,",0379390"
3417451,6,BOX,"1,2",PAV,65,",0936400"
3417452,4,BOX,3,PAV,65,",0577010"
3417453,2,BOX,4 A 7,PAV,65,",2078350"
3417454,0,BOX,8 A 10,PAV,65,",1869940"
3417455,7,BOX,11 A 13,PAV,65,",1550390"
3417456,5,BOX,14,PAV,65,",0529000"
3417457,3,BOX,15,PAV,65,",0460360"
3417458,1,BOX,16,PAV,65,",0460360"
3417459,9,BOX,17 A,PAV,65,",0493690"
3417460,7,BOX,17 B,PAV,65,",0661170"
3417461,5,BOX,18,PAV,65,",0383280"
1978993,2,,,,,"1,0000000"
3417462,3,BOX,K,PAV,72,",3585330"
3417463,1,BOX,J,PAV,72,",1472630"
3417464,9,BOX,1,PAV,72,",2035270"
3417465,6,BOX,2,PAV,72,",0483780"
3417466,4,BOX,3,PAV,72,",0541640"
3417467,2,BOX,4,PAV,72,",1881310"
3417468,0,BOX,1 A 4,PAV,73,",2103390"
3417469,8,BOX,5,PAV,73,",0093940"
3417470,6,BOX,6,PAV,73,",0762700"
3417471,4,BOX,"7,8",PAV,73,",2817190"
3417472,2,BOX,9 A 16,PAV,73,",4222760"
3417473,0,BOX,1,PAV,74,",1704910"
3417474,8,BOX,2,PAV,74,",0194840"
3417475,5,BOX,3,PAV,74,",0277650"
3417476,3,BOX,4,PAV,74,",1207870"
