ii,dv,comp1,comp2,comp3,comp4,comp5,comp6,fracao_fiscal
3417296,5,BOX,"19,2",PAV,34,,,"0,033178"
3417297,3,BOX,"21,23",PAV,34,,,"0,043825"
3417298,1,BOX,"24,26,28",PAV,34,,,"0,075281"
3417299,9,BOX,25,PAV,34,,,"0,021912"
3417300,5,BOX,"27,29",PAV,34,,,"0,037993"
3417301,3,BOX,"30,32",PAV,34,,,"0,06238"
3417302,1,BOX,"31,33 A 38",PAV,34,,,"0,119386"
3417303,9,BOX,"39,41",PAV,34,,,"0,046081"
3417304,7,BOX,"40,42",PAV,34,,,"0,05001"
3417305,4,BOX,"43,44",PAV,34,,,"0,038972"
3417306,2,BOX,"45,46",PAV,34,,,"0,062115"
3417307,0,BOX,BRADESCO,PAV,34,,,"0,062115"
3417308,8,BOX,A,PAV,34,,,"0,036226"
3417309,6,BOX,1,PAV,41,,,"0,012412"
3417310,4,BOX,2,PAV,41,,,"0,015846"
3417311,2,BOX,"3,4,5,7,9",PAV,41,,,"0,101976"
3417312,0,BOX,"6,8",PAV,41,,,"0,036975"
3417313,8,BOX,10,PAV,41,,,"0,016527"
3417314,6,BOX,"11,12",PAV,41,,,"0,041352"
3417315,3,BOX,"13,14",PAV,41,,,"0,032108"
3417316,1,BOX,"15,17,19",PAV,41,,,"0,081181"
3417317,9,BOX,16,PAV,41,,,"0,009265"
3417318,7,BOX,18,PAV,41,,,"0,016201"
3417319,5,BOX,"20,22",PAV,41,,,"0,024963"
3417320,3,BOX,21,PAV,41,,,"0,027437"
3417321,1,BOX,23 A 27,PAV,41,,,"0,111441"
3417322,9,BOX,"28,3",PAV,41,,,"0,021212"
3417323,7,BOX,29,PAV,41,,,"0,036245"
3417324,5,BOX,"31A35,37",E,"39,41,4345",PAV,41,"0,242304"
3417325,2,BOX,36,PAV,41,,,"0,010452"
3417326,0,BOX,38,PAV,41,,,"0,018291"
3417327,8,BOX,40,PAV,41,,,"0,013669"
3417328,6,BOX,42,PAV,41,,,"0,018291"
3417329,4,BOX,44,PAV,41,,,"0,026784"
3417330,2,BOX,46,PAV,41,,,"0,02208"
3417331,0,BOX,47,PAV,41,,,"0,022668"
3417332,8,BOX,48,PAV,41,,,"0,026915"
3417333,6,BOX,A,PAV,41,,,"0,013392"
3417334,4,BOX,1,PAV,42,,,"0,021977"
3417335,1,BOX,2,PAV,42,,,"0,032461"
3417336,9,BOX,3,PAV,42,,,"0,013985"
3417337,7,BOX,"4,6",PAV,42,,,"0,02827"
3417338,5,BOX,5,PAV,42,,,"0,019621"
3417339,3,BOX,7,PAV,42,,,"0,027971"
3417340,1,BOX,8,PAV,42,,,"0,03328"
3417341,9,BOX,10,PAV,42,,,"0,011188"
3417342,7,BOX,11,PAV,42,,,"0,017022"
3417343,5,BOX,12,PAV,42,,,"0,019739"
3417344,3,BOX,13,PAV,42,,,"0,027971"
3417345,0,BOX,"14,16",PAV,42,,,"0,037317"
3417346,8,BOX,15,PAV,42,,,"0,027971"
3417347,6,BOX,17,PAV,42,,,"0,018141"
3417348,4,BOX,18,PAV,42,,,"0,017142"
3417349,2,BOX,"19,21,23",PAV,42,,,"0,085113"
3417350,0,BOX,20,PAV,42,,,"0,016623"
3417351,8,BOX,22,PAV,42,,,"0,01878"
3417352,6,BOX,24,PAV,42,,,"0,01902"
3417353,4,BOX,25,PAV,42,,,"0,013985"
3417354,2,BOX,26,PAV,42,,,"0,021418"
3417355,9,BOX,27,PAV,42,,,"0,018221"
3417356,7,BOX,28,PAV,42,,,"0,024465"
3417357,5,BOX,29,PAV,42,,,"0,017753"
3417358,3,BOX,30,PAV,42,,,"0,027012"
3417359,1,BOX,31,PAV,42,,,"0,013985"
3417360,9,BOX,32,PAV,42,,,"0,010469"
3417361,7,BOX,"33,35",PAV,42,,,"0,02827"
3417362,5,BOX,34,PAV,42,,,"0,033109"
3417363,3,BOX,36,PAV,42,,,"0,027971"
3417364,1,BOX,37,PAV,42,,,"0,022417"
3417365,8,BOX,38,PAV,42,,,"0,020858"
3417366,6,BOX,"39,41",PAV,42,,,"0,049475"
